id,name,created_at,modified_at
432,Colombard-Ugni Blanc,4/1/2018,4/1/2018
433,Grignolino,4/1/2018,4/1/2018
434,Garnacha-Syrah,4/1/2018,4/1/2018
435,Rufete,4/1/2018,4/1/2018
436,Tempranillo-Shiraz,4/1/2018,4/1/2018
437,Mtsvane,4/1/2018,4/1/2018
438,Chardonnay-Pinot Gris,4/1/2018,4/1/2018
439,Marawi,4/1/2018,4/1/2018
440,Chardonnay-Pinot Blanc,4/1/2018,4/1/2018
441,Mataro,4/1/2018,4/1/2018
442,Tinta Cao,4/1/2018,4/1/2018
443,Blauer Portugieser,4/1/2018,4/1/2018
444,Ugni Blanc,4/1/2018,4/1/2018
445,Groppello,4/1/2018,4/1/2018
446,Semillon-Chardonnay,4/1/2018,4/1/2018
447,Irsai Oliver,4/1/2018,4/1/2018
448,Alvarelhão,4/1/2018,4/1/2018
449,Poulsard,4/1/2018,4/1/2018
450,Grenache-Shiraz,4/1/2018,4/1/2018
451,Baga-Touriga Nacional,4/1/2018,4/1/2018
452,Carineña,4/1/2018,4/1/2018
453,Pignoletto,4/1/2018,4/1/2018
454,Muscatel,4/1/2018,4/1/2018
455,Mavrodaphne,4/1/2018,4/1/2018
456,Ciliegiolo,4/1/2018,4/1/2018
457,Viognier-Grenache Blanc,4/1/2018,4/1/2018
458,Greco Bianco,4/1/2018,4/1/2018
459,Cabernet Sauvignon-Merlot-Shiraz,4/1/2018,4/1/2018
460,Sciaccerellu,4/1/2018,4/1/2018
461,Zelen,4/1/2018,4/1/2018
462,Alicante,4/1/2018,4/1/2018
463,Emir,4/1/2018,4/1/2018
464,Rosenmuskateller,4/1/2018,4/1/2018
465,Tsolikouri,4/1/2018,4/1/2018
466,Narince,4/1/2018,4/1/2018
467,Malbec-Cabernet,4/1/2018,4/1/2018
468,Touriga,4/1/2018,4/1/2018
469,Grecanico,4/1/2018,4/1/2018
470,Carmenère-Syrah,4/1/2018,4/1/2018
471,Madeleine Angevine,4/1/2018,4/1/2018
472,Mavroudi,4/1/2018,4/1/2018
473,Pinot Blanc-Pinot Noir,4/1/2018,4/1/2018
474,Muscat Hamburg,4/1/2018,4/1/2018
475,Tempranillo Blanco,4/1/2018,4/1/2018
476,Casavecchia,4/1/2018,4/1/2018
477,Pinot Gris-Gewürztraminer,4/1/2018,4/1/2018
478,White Riesling,4/1/2018,4/1/2018
479,Tinto Velasco,4/1/2018,4/1/2018
480,Hondarrabi Zuri,4/1/2018,4/1/2018
481,Nuragus,4/1/2018,4/1/2018
482,Xynisteri,4/1/2018,4/1/2018
483,Kadarka,4/1/2018,4/1/2018
484,Sauvignon Musqué,4/1/2018,4/1/2018
485,Roussanne-Marsanne,4/1/2018,4/1/2018
486,Incrocio Manzoni,4/1/2018,4/1/2018
487,Terrantez,4/1/2018,4/1/2018
488,Bual,4/1/2018,4/1/2018
489,Okuzgozu,4/1/2018,4/1/2018
490,Rivaner,4/1/2018,4/1/2018
491,Doña Blanca,4/1/2018,4/1/2018
492,Graševina,4/1/2018,4/1/2018
493,Lambrusco Salamino,4/1/2018,4/1/2018
494,Sangiovese-Syrah,4/1/2018,4/1/2018
495,Tannat-Cabernet Franc,4/1/2018,4/1/2018
496,Thrapsathiri,4/1/2018,4/1/2018
497,Fer Servadou,4/1/2018,4/1/2018
498,Mission,4/1/2018,4/1/2018
499,Kekfrankos,4/1/2018,4/1/2018
500,Cococciola,4/1/2018,4/1/2018
501,Blauburgunder,4/1/2018,4/1/2018
502,Marquette,4/1/2018,4/1/2018
503,Romorantin,4/1/2018,4/1/2018
504,Verdejo-Sauvignon Blanc,4/1/2018,4/1/2018
505,Braucol,4/1/2018,4/1/2018
506,Malvasia-Viura,4/1/2018,4/1/2018
507,Savatiano,4/1/2018,4/1/2018
508,Cabernet Franc-Malbec,4/1/2018,4/1/2018
509,Pallagrello Nero,4/1/2018,4/1/2018
510,Rebula,4/1/2018,4/1/2018
511,Vespolina,4/1/2018,4/1/2018
512,Shiraz-Malbec,4/1/2018,4/1/2018
513,Rebo,4/1/2018,4/1/2018
514,Macabeo-Chardonnay,4/1/2018,4/1/2018
515,Tempranillo-Malbec,4/1/2018,4/1/2018
516,Tamjanika,4/1/2018,4/1/2018
517,Trousseau,4/1/2018,4/1/2018
518,Bacchus,4/1/2018,4/1/2018
519,Syrah-Malbec,4/1/2018,4/1/2018
520,Syrah-Cabernet Franc,4/1/2018,4/1/2018
521,Macabeo-Moscatel,4/1/2018,4/1/2018
522,Cariñena-Garnacha,4/1/2018,4/1/2018
523,Plyto,4/1/2018,4/1/2018
524,Códega do Larinho,4/1/2018,4/1/2018
525,Sideritis,4/1/2018,4/1/2018
526,Çalkarası,4/1/2018,4/1/2018
527,Azal,4/1/2018,4/1/2018
528,Moscatel Graúdo,4/1/2018,4/1/2018
529,Viosinho,4/1/2018,4/1/2018
530,Moschofilero-Chardonnay,4/1/2018,4/1/2018
531,Paralleda,4/1/2018,4/1/2018
532,Rara Neagra,4/1/2018,4/1/2018
533,Malvasia di Candia,4/1/2018,4/1/2018
534,Maria Gomes,4/1/2018,4/1/2018
535,Molinara,4/1/2018,4/1/2018
536,Malvar,4/1/2018,4/1/2018
537,Airen,4/1/2018,4/1/2018
538,Erbaluce,4/1/2018,4/1/2018
539,Muscat of Alexandria,4/1/2018,4/1/2018
540,Verdosilla,4/1/2018,4/1/2018
541,Abouriou,4/1/2018,4/1/2018
542,Pinot Noir-Syrah,4/1/2018,4/1/2018
543,Nielluciu,4/1/2018,4/1/2018
544,Malbec-Bonarda,4/1/2018,4/1/2018
545,Vespaiolo,4/1/2018,4/1/2018
546,Malbec-Carménère,4/1/2018,4/1/2018
547,Biancolella,4/1/2018,4/1/2018
548,Sauvignon Blanc-Verdejo,4/1/2018,4/1/2018
549,Aidani,4/1/2018,4/1/2018
550,Garnacha-Monastrell,4/1/2018,4/1/2018
551,Vinhão,4/1/2018,4/1/2018
552,Souzao,4/1/2018,4/1/2018
553,Roter Traminer,4/1/2018,4/1/2018
554,Moscatel de Alejandría,4/1/2018,4/1/2018
555,Rolle,4/1/2018,4/1/2018
556,Tinta Francisca,4/1/2018,4/1/2018
557,Malvasia Nera,4/1/2018,4/1/2018
